vid,rank,views,likes,dislikes,time
24699,534,0,583314,F14,2019-01-20 00:35:35.932840
7618,111,0,210153,C63,2019-01-20 00:35:36.566843
7647,59,0,185557,C62,2019-01-20 00:35:37.326669
9834,142,0,245170,C61,2019-01-20 00:35:38.067725
8967,128,0,229712,C60,2019-01-20 00:35:38.763703
18622,349,0,476846,F13,2019-01-20 00:35:39.533133
6952,401,0,218000,C59,2019-01-20 00:35:40.131663
5911,136,0,172540,C58,2019-01-20 00:35:40.782396
5299,33,0,167217,C57,2019-01-20 00:35:41.354977
6695,28,0,182500,C56,2019-01-20 00:35:42.151527
5426,31,0,162970,C55,2019-01-20 00:35:42.799990
6063,84,0,167548,C54,2019-01-20 00:35:43.457999
2019-01-20 00:40:31.094085,49,0,7420,C65,104408
2019-01-20 00:40:31.694863,34,0,11090,C64,299737
2019-01-20 00:40:32.308782,534,0,24700,F14,583994
2019-01-20 00:40:32.949103,111,0,7618,C63,210153
2019-01-20 00:40:33.585291,59,0,7647,C62,185557
2019-01-20 00:40:34.208243,142,0,9836,C61,245273
2019-01-20 00:40:34.841545,128,0,8967,C60,229712
2019-01-20 00:40:35.577954,349,0,18622,F13,476846
2019-01-20 00:40:36.211096,401,0,6952,C59,218000
2019-01-20 00:40:36.947277,136,0,5911,C58,172540
2019-01-20 00:40:37.604243,33,0,5299,C57,167217
2019-01-20 00:40:38.263904,28,0,6695,C56,182500
2019-01-20 00:40:39.012321,31,0,5426,C55,162970
2019-01-20 00:40:39.748600,84,0,6063,C54,167548
104642,0,C65,51,2019-01-20 00:45:31.037528,7431
299737,0,C64,34,2019-01-20 00:45:31.665271,11090
583994,0,F14,534,2019-01-20 00:45:32.329337,24700
210661,0,C63,111,2019-01-20 00:45:32.978993,7619
185557,0,C62,59,2019-01-20 00:45:33.693597,7647
245273,0,C61,142,2019-01-20 00:45:34.298798,9836
229712,0,C60,128,2019-01-20 00:45:35.017760,8967
476846,0,F13,349,2019-01-20 00:45:35.652644,18622
218000,0,C59,401,2019-01-20 00:45:36.292565,6952
172540,0,C58,136,2019-01-20 00:45:36.898415,5911
167217,0,C57,33,2019-01-20 00:45:37.618836,5299
182500,0,C56,28,2019-01-20 00:45:38.212541,6695
162970,0,C55,31,2019-01-20 00:45:38.871137,5426
167548,0,C54,84,2019-01-20 00:45:39.526483,6063
2019-01-20 00:50:34.838450,105530,C65,7450,0,53
2019-01-20 00:50:35.522798,299737,C64,11090,0,34
2019-01-20 00:50:36.171199,584037,F14,24701,0,534
2019-01-20 00:50:36.846330,210661,C63,7619,0,111
